Customer_ID,Last_Order,Frequency,Monetary,Recency,R_Score,F_Score,M_Score,RFM_Score,Segment,Customer_Name,Gender,Age,Region,Customer_Type
CUST00001,2024-12-12,15,598100.0,19,4,5,4,13,Champions,Vihaan Sharma,Male,57,North,Returning
CUST00002,2024-11-24,8,177648.0,37,4,2,2,8,At Risk,Pooja Joshi,Female,24,North,New
CUST00003,2023-11-13,4,228946.0,414,1,1,2,4,Hibernating,Ishita Kumar,Female,49,North,Returning
CUST00004,2024-12-12,15,623418.0,19,4,5,4,13,Champions,Anika Shah,Female,36,West,Returning
CUST00005,2024-10-23,7,24023.0,69,3,1,1,5,Hibernating,Aditya Agarwal,Male,23,South,Returning
CUST00006,2024-11-18,11,454395.0,43,3,3,4,10,Loyal Customers,Ramesh Verma,Male,37,East,Returning
CUST00007,2024-11-03,13,232830.5,58,3,4,2,9,At Risk,Aarav Patel,Male,44,North,New
CUST00008,2024-11-26,14,190201.0,35,4,5,2,11,Loyal Customers,Mahi Joshi,Female,60,West,Returning
CUST00009,2024-10-02,9,199145.0,90,2,2,2,6,Hibernating,Sonal Jain,Female,54,Central,Returning
CUST00010,2024-08-30,8,161538.0,123,2,2,1,5,Hibernating,Aadhya Shah,Female,24,West,New
CUST00011,2024-12-23,11,996441.0,8,5,3,5,13,Champions,Reyansh Shah,Male,22,South,Returning
CUST00012,2024-05-24,14,213409.0,221,1,5,2,8,At Risk,Kavya Joshi,Female,28,South,Returning
CUST00013,2024-11-03,10,105977.0,58,3,3,1,7,At Risk,Lakshmi Agarwal,Female,32,East,Returning
CUST00014,2024-08-01,10,433129.0,152,1,3,4,8,At Risk,Krishna Sharma,Male,20,South,Returning
CUST00015,2024-12-19,9,307115.0,12,5,2,3,10,Loyal Customers,Sai Mishra,Male,22,North,New
CUST00016,2024-06-25,11,243037.0,189,1,3,2,6,Hibernating,Rohit Nair,Male,40,North,Returning
CUST00017,2024-12-30,14,1294850.0,1,5,5,5,15,Champions,Arjun Mehta,Male,54,West,New
CUST00018,2024-12-29,12,348943.0,2,5,4,3,12,Loyal Customers,Rohit Singh,Male,26,East,New
CUST00019,2024-11-20,10,430314.5,41,3,3,3,9,At Risk,Aditya Yadav,Male,32,Central,Returning
CUST00020,2023-11-27,7,495858.0,400,1,1,4,6,Hibernating,Vihaan Pillai,Male,20,East,Returning
CUST00021,2024-11-21,11,315415.0,40,3,3,3,9,At Risk,Sneha Jain,Female,46,North,Returning
CUST00022,2024-12-18,8,280271.5,13,5,2,2,9,At Risk,Krishna Verma,Male,23,Central,New
CUST00023,2024-12-28,14,111683.0,3,5,5,1,11,Loyal Customers,Kiran Shah,Male,34,North,Returning
